Building,Address,Lat,Long,,,,,,,,,
1,1892 Oak Terrace Lane,34.18840888,-118.91855973,,,,,,,,,
2,1900 Oak Terrace Lane,34.188201,-118.919453,,,,,,,,,
4,1897 Oak Terrace Lane,34.18898865,-118.9192719,,,,,,,,,
6,2003 Oak Terrace Lane,34.18856825,-118.92134944,,,,,,,,,
7,770 Pauling Drive,34.18964299,-118.92138836,,,,,,,,,
7U,720 Pauling Drive (Utility),34.18930575,-118.92117378,,,,,,,,,
8,1916 Oak Terrace Lane,34.187785,-118.921455,,,,,,,,,
10,815 Biotech Court,34.19044406,-118.91873521,,,,,,,,,
13,999 Rancho Conejo Blvd,34.192319,-118.924056,,,,,,,,,
14,701 Pauling Drive,34.187779,-118.92241,,,,,,,,,
15,767 Pauling Drive,34.189718,-118.922397,,,,,,,,,
17,825 Biotech Court,34.19050619,-118.9177267,,,,,,,,,
18N,780 Rancho Conejo Blvd,34.19040799,-118.92337844,,,,,,,,,
18S,780 Rancho Conejo Blvd,34.19010625,-118.92349646,,,,,,,,,
20,1908 Oak Terrace Lane,34.18803662,-118.92033707,,,,,,,,,
21,1909 Oak Terrace Lane,34.18878367,-118.92039582,,,,,,,,,
22,800 Rancho Conejo Blvd,34.190653,-118.92326317,,,,,,,,,
23,1889 Oak Terrace Lane,34.18918825,-118.91836283,,,,,,,,,
24,720 Amgen Court,34.18976374,-118.91685705,,,,,,,,,
32,720 Amgen Court,34.18944425,-118.91743641,,,,,,,,,
25,704 Rancho Conejo Blvd,34.18894115,-118.92347498,,,,,,,,,
27,One Amgen Center Drive,34.19151563,-118.92006056,,,,,,,,,
28,805 Biotech Court,34.19047956,-118.91951841,,,,,,,,,
29,700 Rancho Conejo Blvd,34.188291,-118.923756,,,,,,,,,
30,777 Pauling Drive,34.19056275,-118.92198254,,,,,,,,,
31,1000 North Ventu Park Road,34.19330835,-118.91838163,,,,,,,,,
33,710 Pauling Drive,34.18907413,-118.92153166,,,,,,,,,
34,2150 West Hillcrest Drive,34.1862814,-118.9236492,,,,,,,,,
35,1100 Rancho Conejo Blvd,34.19432332,-118.9207496,,,,,,,,,
36,1100 Rancho Conejo Blvd,34.19513087,-118.92008441,,,,,,,,,
37,1100 Rancho Conejo Blvd,34.19443868,-118.9196338,,,,,,,,,
38,790 Pauling Drive,34.1905138,-118.9204779,,,,,,,,,
39,855 North Ventu Park Road,34.1908571,-118.91674131,,,,,,,,,
42,1889 Oak Terrace Lane,34.18918825,-118.91873834,,,,,,,,,
80,1280 Rancho Conejo Blvd,34.196173,-118.920916,,,,,,,,,
81,1290 Rancho Conejo Blvd,34.196667,-118.921207,,,,,,,,,
94,1535 Rancho Conejo Blvd,34.20150381,-118.92654424,,,,,,,,,
95,1011 Rancho Conejo Blvd,34.19331262,-118.92373453,,,,,,,,,
98,652 Mitchell Road (Vacant),34.1874145,-118.92577688,,,,,,,,,
99,2495 Teller Road (Teller Building),34.19061024,-118.92916473,,,,,,,,,
PS-1,795 Biotech Court,,,,,,,,,,,
PS-2,710 Amgen Court,34.18872582,-118.91739201,,,,,,,,,
PS-3,772 Rancho Conejo Blvd,34.18951303,-118.9234539,,,,,,,,,
PS-4,700 Rancho Conejo Blvd,34.188291,-118.923756,,,,,,,,,
PS-5,948 Pauling Drive,,,,,,,,,,,
PS-6,955 Ventu Park Road,34.19144701,-118.9182841,,,,,,,,,
